fuente,indicador,anio,departamento,casos,poblacion_0a17_ech,n_muestral_poblacion,tasa_por_10mil,pobreza_2019_pct,n_muestral_pobreza_2019_pct,hacinamiento_2019_pct,n_muestral_hacinamiento_2019_pct
conapees,situaciones ESNNA atendidas,2020,Río Negro,12,17069.0,483,7.03,11.9,483,3.05,283
conapees,situaciones ESNNA atendidas,2020,Salto,24,37383.0,1238,6.42,13.71,1238,4.81,691
conapees,situaciones ESNNA atendidas,2020,San José,18,30305.0,966,5.94,4.77,966,3.66,572
conapees,situaciones ESNNA atendidas,2020,Soriano,16,23326.0,663,6.86,11.74,663,3.52,363
conapees,situaciones ESNNA atendidas,2020,Tacuarembó,23,25595.0,807,8.99,14.04,807,2.61,480
conapees,situaciones ESNNA atendidas,2020,Treinta y Tres,18,13531.0,405,13.3,26.86,405,8.02,247
conapees,situaciones ESNNA atendidas,2021,Artigas,46,20406.0,735,22.54,18.1,735,2.12,442
conapees,situaciones ESNNA atendidas,2021,Canelones,28,151348.0,3834,1.85,9.99,3834,5.68,2303
conapees,situaciones ESNNA atendidas,2021,Cerro Largo,35,24499.0,780,14.29,15.66,780,5.6,472
conapees,situaciones ESNNA atendidas,2021,Colonia,44,32797.0,985,13.42,7.63,985,2.29,605
conapees,situaciones ESNNA atendidas,2021,Durazno,21,15734.0,549,13.35,16.87,549,3.51,310
conapees,situaciones ESNNA atendidas,2021,Flores,5,6830.0,257,7.32,7.63,257,1.36,159
conapees,situaciones ESNNA atendidas,2021,Florida,28,18313.0,534,15.29,8.81,534,1.62,321
conapees,situaciones ESNNA atendidas,2021,Lavalleja,6,14963.0,445,4.01,13.33,445,4.16,256
conapees,situaciones ESNNA atendidas,2021,Maldonado,42,47049.0,1159,8.93,4.82,1159,2.77,709
conapees,situaciones ESNNA atendidas,2021,Montevideo,58,309135.0,7744,1.88,24.07,7744,4.6,4693
conapees,situaciones ESNNA atendidas,2021,Paysandú,27,35921.0,1064,7.52,15.74,1064,7.59,588
conapees,situaciones ESNNA atendidas,2021,Rivera,15,30123.0,998,4.98,18.97,998,3.31,593
conapees,situaciones ESNNA atendidas,2021,Rocha,9,18819.0,743,4.78,13.14,743,1.92,463
conapees,situaciones ESNNA atendidas,2021,Río Negro,19,17069.0,483,11.13,11.9,483,3.05,283
conapees,situaciones ESNNA atendidas,2021,Salto,29,37383.0,1238,7.76,13.71,1238,4.81,691
conapees,situaciones ESNNA atendidas,2021,San José,20,30305.0,966,6.6,4.77,966,3.66,572
conapees,situaciones ESNNA atendidas,2021,Soriano,22,23326.0,663,9.43,11.74,663,3.52,363
conapees,situaciones ESNNA atendidas,2021,Tacuarembó,24,25595.0,807,9.38,14.04,807,2.61,480
conapees,situaciones ESNNA atendidas,2021,Treinta y Tres,16,13531.0,405,11.82,26.86,405,8.02,247
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Artigas,34,20406.0,735,16.66,18.1,735,2.12,442
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Canelones,265,151348.0,3834,17.51,9.99,3834,5.68,2303
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Cerro Largo,50,24499.0,780,20.41,15.66,780,5.6,472
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Colonia,54,32797.0,985,16.46,7.63,985,2.29,605
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Durazno,38,15734.0,549,24.15,16.87,549,3.51,310
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Flores,18,6830.0,257,26.35,7.63,257,1.36,159
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Florida,44,18313.0,534,24.03,8.81,534,1.62,321
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Lavalleja,37,14963.0,445,24.73,13.33,445,4.16,256
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Maldonado,110,47049.0,1159,23.38,4.82,1159,2.77,709
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Montevideo,514,309135.0,7744,16.63,24.07,7744,4.6,4693
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Paysandú,74,35921.0,1064,20.6,15.74,1064,7.59,588
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Rivera,92,30123.0,998,30.54,18.97,998,3.31,593
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Rocha,33,18819.0,743,17.54,13.14,743,1.92,463
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Río Negro,35,17069.0,483,20.51,11.9,483,3.05,283
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Salto,66,37383.0,1238,17.66,13.71,1238,4.81,691
fiscalia,actuaciones FGN delitos sexuales NNA,2018,San José,69,30305.0,966,22.77,4.77,966,3.66,572
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Soriano,73,23326.0,663,31.3,11.74,663,3.52,363
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Tacuarembó,46,25595.0,807,17.97,14.04,807,2.61,480
fiscalia,actuaciones FGN delitos sexuales NNA,2018,Treinta y Tres,21,13531.0,405,15.52,26.86,405,8.02,247
