anio,tramo,pct_situaciones_sipiav,pct_poblacion_0a17_ech,indice_representacion,pobreza_tramo_pct,fuente
2019,0 a 5,18.7,28.9,0.65,17.02,"SIPIAV informe 2019 (distribución publicada, renormalizada a 0-17); ECH 2019 (INE), ponderada"
2019,6 a 12,42.9,38.9,1.1,16.48,"SIPIAV informe 2019 (distribución publicada, renormalizada a 0-17); ECH 2019 (INE), ponderada"
2019,13 a 17,38.5,32.2,1.2,14.98,"SIPIAV informe 2019 (distribución publicada, renormalizada a 0-17); ECH 2019 (INE), ponderada"
2025,0 a 5,24.2,25.4,0.95,29.11,"SIPIAV informe 2025 (distribución publicada, renormalizada a 0-17); ECH 2025 (INE), ponderada"
2025,6 a 12,40.0,41.5,0.96,27.3,"SIPIAV informe 2025 (distribución publicada, renormalizada a 0-17); ECH 2025 (INE), ponderada"
2025,13 a 17,35.8,33.1,1.08,26.47,"SIPIAV informe 2025 (distribución publicada, renormalizada a 0-17); ECH 2025 (INE), ponderada"
