cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Parcial,Total país,Total general,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Primera Infancia|Mujeres,25.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Primera Infancia|Varones,35.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Infancia|Mujeres,72.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Infancia|Varones,64.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Adolescencia|Mujeres,50.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Adolescencia|Varones,25.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Juventud|Mujeres,6.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Juventud|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Juventud y Adultez|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Total|Mujeres,153.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Total|Varones,125.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga,Total país,Total general,278.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Primera Infancia|Mujeres,4.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Primera Infancia|Varones,4.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Infancia|Mujeres,2.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Infancia|Varones,2.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Adolescencia|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Juventud|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Total|Mujeres,6.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Total|Varones,6.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Amiga Urgencia,Total país,Total general,12.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Primera Infancia|Mujeres,2.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Primera Infancia|Varones,4.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Infancia|Mujeres,3.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Infancia|Varones,9.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Adolescencia|Mujeres,13.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Adolescencia|Varones,19.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Juventud|Mujeres,5.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Juventud|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Juventud y Adultez|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Total|Mujeres,24.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Total|Varones,34.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Cuidadoras 1a. Atención/ Hogares Alternativa Familiar,Total país,Total general,58.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Primera Infancia|Mujeres,203.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Primera Infancia|Varones,184.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Infancia|Mujeres,681.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Infancia|Varones,644.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Adolescencia|Mujeres,400.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Adolescencia|Varones,388.0,cantidad
