indicador_codigo,indicador_nombre,dimension,anio,apertura,valor,unidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,tramo=21 años en adelante,522.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,tramo=21 años en adelante,451.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,tramo=21 años en adelante,454.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,sexo=Mujeres,3287.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,sexo=Mujeres,3460.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,sexo=Mujeres,3629.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,sexo=Mujeres,4091.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,sexo=Mujeres,4055.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,sexo=Mujeres,4020.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,sexo=Varones,3229.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,sexo=Varones,3408.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,sexo=Varones,3597.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,sexo=Varones,3926.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,sexo=Varones,3847.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,sexo=Varones,3968.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Montevideo,3147.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Montevideo,3271.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Montevideo,3489.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Montevideo,3801.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Montevideo,3660.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Montevideo,3700.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Canelones,374.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Canelones,390.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Canelones,451.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Canelones,542.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Canelones,550.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Canelones,565.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Norte,539.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Norte,630.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Norte,655.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Norte,729.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Norte,811.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Norte,831.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Litoral,927.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Litoral,997.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Litoral,962.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Litoral,1033.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Litoral,908.0,cantidad
